Sub,Date,Press,Trial,ItemPressed,CorrectItem,Accuracy,Hint,HintNominal,Known,TrialAcc,HintsPerTrial,HintRT,RT,Time,List,Items,Day,HintAvailible,HintPause,NumLists,PortPressed,CorrectPort,PicturePressed,Chamber,TrialsPerSession,TO,ITI,Other Day,Session,Order pressed,Response type
S2,2017.09.27,47,13,A,B,1,0,No Hint,Unknown,bl,bl,bl,1.766667,101.6333,4006,4,1,FALSE,0,3,0,5,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,48,13,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.4666667,102.1,4006,4,1,FALSE,0,3,5,2,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,49,13,D,D,1,0,No Hint,Unknown,1,0,bl,0.4333333,102.5333,4006,4,1,FALSE,0,3,3,3,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,50,14,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.95,108.3333,4006,4,1,FALSE,0,3,3,4,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,51,14,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.2833333,108.6167,4006,4,1,FALSE,0,3,4,2,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,52,14,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.6,109.2167,4006,4,1,FALSE,0,3,0,3,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,53,14,B,D,1,0,No Hint,Unknown,1,0,bl,0.3833333,109.6,4006,4,1,FALSE,0,3,2,0,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,54,15,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.683333,115.7833,4006,4,1,FALSE,0,3,2,3,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,55,15,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.35,116.1333,4006,4,1,FALSE,0,3,3,5,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,56,15,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.5333333,116.6667,4006,4,1,FALSE,0,3,5,2,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,57,15,D,D,1,0,No Hint,Unknown,1,0,bl,0.2833333,116.95,4006,4,1,FALSE,0,3,1,1,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,58,16,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.983333,123.85,4006,4,1,FALSE,0,3,4,3,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,59,16,A,B,1,0,No Hint,Unknown,bl,bl,bl,1.016667,124.8667,4006,4,1,FALSE,0,3,3,5,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,60,16,D,C,1,0,No Hint,Unknown,bl,bl,bl,1.133333,126,4006,4,1,FALSE,0,3,1,4,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,61,16,B,D,1,0,No Hint,Unknown,1,0,bl,0.35,126.35,4006,4,1,FALSE,0,3,5,1,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,62,17,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.333333,132.6,4006,4,1,FALSE,0,3,0,5,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,63,17,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.3833333,132.9833,4006,4,1,FALSE,0,3,5,4,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,64,17,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.4,133.3833,4006,4,1,FALSE,0,3,3,0,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,65,17,B,D,1,0,No Hint,Unknown,1,0,bl,0.35,133.7333,4006,4,1,FALSE,0,3,4,3,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,66,18,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.683333,139.3333,4006,4,1,FALSE,0,3,1,3,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,67,18,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.25,139.5833,4006,4,1,FALSE,0,3,3,5,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,68,18,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.2666667,139.85,4006,4,1,FALSE,0,3,2,1,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,69,18,B,D,1,0,No Hint,Unknown,1,0,bl,0.25,140.1,4006,4,1,FALSE,0,3,5,2,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,75,21,C,A,1,0,No Hint,Unknown,bl,bl,bl,2.266667,161.5333,4006,4,1,FALSE,0,3,3,2,4006.03,,80,3,2,1,Testing,CADB,Crossed
S2,2017.09.27,76,21,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.6166667,162.15,4006,4,1,FALSE,0,3,2,1,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,77,21,D,C,1,0,No Hint,Unknown,bl,bl,bl,0.5,162.65,4006,4,1,FALSE,0,3,5,3,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,78,21,B,D,1,0,No Hint,Unknown,1,0,bl,0.3833333,163.0333,4006,4,1,FALSE,0,3,1,5,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,79,22,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.3,168.35,4006,4,1,FALSE,0,3,5,1,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,80,22,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.3666667,168.7167,4006,4,1,FALSE,0,3,1,2,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,81,22,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.3666667,169.0833,4006,4,1,FALSE,0,3,2,5,4006.02,,80,3,2,1,Testing,,
S2,2017.09.27,82,22,D,D,1,0,No Hint,Unknown,1,0,bl,0.3333333,169.4167,4006,4,1,FALSE,0,3,4,4,4006.04,,80,3,2,1,Testing,,
S2,2017.09.27,91,25,C,A,1,0,No Hint,Unknown,bl,bl,bl,1.933333,189.2333,4006,4,1,FALSE,0,3,2,3,4006.03,,80,3,2,1,Testing,CABD,Center Embedded
S2,2017.09.27,92,25,A,B,1,0,No Hint,Unknown,bl,bl,bl,0.3666667,189.6,4006,4,1,FALSE,0,3,3,4,4006.01,,80,3,2,1,Testing,,
S2,2017.09.27,93,25,B,C,1,0,No Hint,Unknown,bl,bl,bl,0.3166667,189.9167,4006,4,1,FALSE,0,3,4,2,4006.02,,80,3,2,1,Testing,,
